"id","precinct","contest","party","counter","year","month","et_id","rt_id","count"
1630404,"SET 33-3057","City of SeaTac Council Position No. 7","NP","Registered Voters",2019,11,1,1,847
1368036,"SET 33-1031","City of SeaTac Council Position No. 7","NP","Registered Voters",2019,11,1,1,810
1368037,"SET 33-1031","City of SeaTac Council Position No. 7","NP","Times Counted",2019,11,1,1,282
1368038,"SET 33-1031","City of SeaTac Council Position No. 7","NP","Times Under Voted",2019,11,1,1,29
1368039,"SET 33-1031","City of SeaTac Council Position No. 7","<NP>","Mohamed Ali Egal",2019,11,1,1,131
1368040,"SET 33-1031","City of SeaTac Council Position No. 7","<NP>","Erin Sitterley",2019,11,1,1,122
1368041,"SET 33-1031","City of SeaTac Council Position No. 7","<NP>","Write-in",2019,11,1,1,0
1368042,"SET 33-1031","City of SeaTac Council Position No. 7","NP","Times Over Voted",2019,11,1,1,0
1630405,"SET 33-3057","City of SeaTac Council Position No. 7","NP","Times Counted",2019,11,1,1,326
1630406,"SET 33-3057","City of SeaTac Council Position No. 7","NP","Times Under Voted",2019,11,1,1,26
1630407,"SET 33-3057","City of SeaTac Council Position No. 7","<NP>","Mohamed Ali Egal",2019,11,1,1,116
1630408,"SET 33-3057","City of SeaTac Council Position No. 7","<NP>","Erin Sitterley",2019,11,1,1,184
1631293,"SET 33-3062","City of SeaTac Council Position No. 7","NP","Registered Voters",2019,11,1,1,359
1630847,"SET 33-3060","City of SeaTac Council Position No. 7","NP","Registered Voters",2019,11,1,1,378
1630848,"SET 33-3060","City of SeaTac Council Position No. 7","NP","Times Counted",2019,11,1,1,106
1630849,"SET 33-3060","City of SeaTac Council Position No. 7","NP","Times Under Voted",2019,11,1,1,11
1630850,"SET 33-3060","City of SeaTac Council Position No. 7","<NP>","Mohamed Ali Egal",2019,11,1,1,51
1630851,"SET 33-3060","City of SeaTac Council Position No. 7","<NP>","Erin Sitterley",2019,11,1,1,44
1630852,"SET 33-3060","City of SeaTac Council Position No. 7","<NP>","Write-in",2019,11,1,1,0
1630853,"SET 33-3060","City of SeaTac Council Position No. 7","NP","Times Over Voted",2019,11,1,1,0
1631063,"SET 33-3061","City of SeaTac Council Position No. 7","NP","Registered Voters",2019,11,1,1,404
1631064,"SET 33-3061","City of SeaTac Council Position No. 7","NP","Times Counted",2019,11,1,1,193
1631065,"SET 33-3061","City of SeaTac Council Position No. 7","NP","Times Under Voted",2019,11,1,1,13
1631066,"SET 33-3061","City of SeaTac Council Position No. 7","<NP>","Mohamed Ali Egal",2019,11,1,1,68
1631067,"SET 33-3061","City of SeaTac Council Position No. 7","<NP>","Erin Sitterley",2019,11,1,1,112
1631068,"SET 33-3061","City of SeaTac Council Position No. 7","<NP>","Write-in",2019,11,1,1,0
1631069,"SET 33-3061","City of SeaTac Council Position No. 7","NP","Times Over Voted",2019,11,1,1,0
1630409,"SET 33-3057","City of SeaTac Council Position No. 7","<NP>","Write-in",2019,11,1,1,0
1630410,"SET 33-3057","City of SeaTac Council Position No. 7","NP","Times Over Voted",2019,11,1,1,0
1630638,"SET 33-3059","City of SeaTac Council Position No. 7","NP","Registered Voters",2019,11,1,1,824
1630639,"SET 33-3059","City of SeaTac Council Position No. 7","NP","Times Counted",2019,11,1,1,251
1630640,"SET 33-3059","City of SeaTac Council Position No. 7","NP","Times Under Voted",2019,11,1,1,15
1630641,"SET 33-3059","City of SeaTac Council Position No. 7","<NP>","Mohamed Ali Egal",2019,11,1,1,140
1630642,"SET 33-3059","City of SeaTac Council Position No. 7","<NP>","Erin Sitterley",2019,11,1,1,96
1630643,"SET 33-3059","City of SeaTac Council Position No. 7","<NP>","Write-in",2019,11,1,1,0
1630644,"SET 33-3059","City of SeaTac Council Position No. 7","NP","Times Over Voted",2019,11,1,1,0
1631294,"SET 33-3062","City of SeaTac Council Position No. 7","NP","Times Counted",2019,11,1,1,170
1631295,"SET 33-3062","City of SeaTac Council Position No. 7","NP","Times Under Voted",2019,11,1,1,11
1631296,"SET 33-3062","City of SeaTac Council Position No. 7","<NP>","Mohamed Ali Egal",2019,11,1,1,53
1631297,"SET 33-3062","City of SeaTac Council Position No. 7","<NP>","Erin Sitterley",2019,11,1,1,106
1631298,"SET 33-3062","City of SeaTac Council Position No. 7","<NP>","Write-in",2019,11,1,1,0
1631299,"SET 33-3062","City of SeaTac Council Position No. 7","NP","Times Over Voted",2019,11,1,1,0
1631523,"SET 33-3063","City of SeaTac Council Position No. 7","NP","Registered Voters",2019,11,1,1,343
1631524,"SET 33-3063","City of SeaTac Council Position No. 7","NP","Times Counted",2019,11,1,1,166
1631525,"SET 33-3063","City of SeaTac Council Position No. 7","NP","Times Under Voted",2019,11,1,1,8
1631526,"SET 33-3063","City of SeaTac Council Position No. 7","<NP>","Mohamed Ali Egal",2019,11,1,1,63
1631527,"SET 33-3063","City of SeaTac Council Position No. 7","<NP>","Erin Sitterley",2019,11,1,1,94
1631528,"SET 33-3063","City of SeaTac Council Position No. 7","<NP>","Write-in",2019,11,1,1,1
1631529,"SET 33-3063","City of SeaTac Council Position No. 7","NP","Times Over Voted",2019,11,1,1,0
1631948,"SET 33-3066","City of SeaTac Council Position No. 7","NP","Registered Voters",2019,11,1,1,738
1631746,"SET 33-3065","City of SeaTac Council Position No. 7","NP","Registered Voters",2019,11,1,1,809
1631747,"SET 33-3065","City of SeaTac Council Position No. 7","NP","Times Counted",2019,11,1,1,308
1631748,"SET 33-3065","City of SeaTac Council Position No. 7","NP","Times Under Voted",2019,11,1,1,12
1631749,"SET 33-3065","City of SeaTac Council Position No. 7","<NP>","Mohamed Ali Egal",2019,11,1,1,171
1631750,"SET 33-3065","City of SeaTac Council Position No. 7","<NP>","Erin Sitterley",2019,11,1,1,125
1631751,"SET 33-3065","City of SeaTac Council Position No. 7","<NP>","Write-in",2019,11,1,1,0
1631752,"SET 33-3065","City of SeaTac Council Position No. 7","NP","Times Over Voted",2019,11,1,1,0
1631949,"SET 33-3066","City of SeaTac Council Position No. 7","NP","Times Counted",2019,11,1,1,321
1631950,"SET 33-3066","City of SeaTac Council Position No. 7","NP","Times Under Voted",2019,11,1,1,19
1631951,"SET 33-3066","City of SeaTac Council Position No. 7","<NP>","Mohamed Ali Egal",2019,11,1,1,121
1631952,"SET 33-3066","City of SeaTac Council Position No. 7","<NP>","Erin Sitterley",2019,11,1,1,181
1631953,"SET 33-3066","City of SeaTac Council Position No. 7","<NP>","Write-in",2019,11,1,1,0
1631954,"SET 33-3066","City of SeaTac Council Position No. 7","NP","Times Over Voted",2019,11,1,1,0
1632425,"SET 33-3069","City of SeaTac Council Position No. 7","NP","Registered Voters",2019,11,1,1,431
1632176,"SET 33-3068","City of SeaTac Council Position No. 7","NP","Registered Voters",2019,11,1,1,572
1632177,"SET 33-3068","City of SeaTac Council Position No. 7","NP","Times Counted",2019,11,1,1,276
1632178,"SET 33-3068","City of SeaTac Council Position No. 7","NP","Times Under Voted",2019,11,1,1,26
1632179,"SET 33-3068","City of SeaTac Council Position No. 7","<NP>","Mohamed Ali Egal",2019,11,1,1,86
1632180,"SET 33-3068","City of SeaTac Council Position No. 7","<NP>","Erin Sitterley",2019,11,1,1,160
1632181,"SET 33-3068","City of SeaTac Council Position No. 7","<NP>","Write-in",2019,11,1,1,4
1632182,"SET 33-3068","City of SeaTac Council Position No. 7","NP","Times Over Voted",2019,11,1,1,0
1632426,"SET 33-3069","City of SeaTac Council Position No. 7","NP","Times Counted",2019,11,1,1,197
1632427,"SET 33-3069","City of SeaTac Council Position No. 7","NP","Times Under Voted",2019,11,1,1,12
1632428,"SET 33-3069","City of SeaTac Council Position No. 7","<NP>","Mohamed Ali Egal",2019,11,1,1,73
1632429,"SET 33-3069","City of SeaTac Council Position No. 7","<NP>","Erin Sitterley",2019,11,1,1,111
1632430,"SET 33-3069","City of SeaTac Council Position No. 7","<NP>","Write-in",2019,11,1,1,1
1632431,"SET 33-3069","City of SeaTac Council Position No. 7","NP","Times Over Voted",2019,11,1,1,0
