"year","et_id","sum","sum"
2008,1,930038,1108128
2008,2,363197,1041892
2009,1,574298,1079842
2009,2,344712,1090964
2010,1,766477,1069791
2010,2,406391,1074731
2011,1,564331,1082929
2011,2,338255,1094533
2012,1,978377,1170638
2012,2,433394,1113897
2013,1,551665,1176158
2013,2,340236,1187888
2014,1,631020,1181076
2014,2,344583,1175330
2015,1,467608,1193706
2015,2,289596,1183771
2016,1,1041613,1288327
2016,2,448241,1240245
2017,1,546200,1279345
2017,2,437453,1295691
2018,1,968105,1294184
2018,2,546550,1283855
2019,1,645685,1330308
2019,2,455142,1320580
