,presentuse
Single FamilyRes UseZone,956259
CondominiumResidential,85991
Townhouse Plat,51526
VacantSinglefamily,41743
Apartment,17294
CondominiumMixed Use,16042
Duplex,13144
Single FamilyCI Zone,7432
Mobile Home,6731
ApartmentMixed Use,4483
,4441
Triplex,3613
Office Building,3491
VacantCommercial,3348
4Plex,3326
Retail Store,2802
Warehouse,2720
VacantMultifamily,1709
VacantIndustrial,1550
ChurchWelfareRelig Srvc,1246
Utility Public,1232
ParkingAssoc,1220
Park PublicZooArbor,1207
Service Building,1091
ApartmentSubsidized,1077
Marina,1042
Right of WayUtility Road,1040
RestaurantLounge,794
MedicalDental Office,766
Retirement Facility,742
CondominiumM Home Pk,724
IndustrialGen Purpose,686
SchoolPublic,628
Governmental Service,588
ParkingCommercial Lot,586
IndustrialLight,538
RetailLineStrip,521
Group Home,437
HotelMotel,418
RestaurantFast Food,410
Mobile Home Park,401
Conv Store with Gas,385
Easement,369
CondominiumOffice,361
Congregate Housing,339
Industrial Park,316
Bank,304
Single FamilyCI Use,302
Auto Showroom and Lot,266
SchoolPrivate,237
Mini Warehouse,233
Daycare Center,221
Golf Course,219
Rooming House,208
Shopping CtrNghbrhood,187
ParkingGarage,183
Houseboat,183
IndustrialHeavy,180
High TechHigh Flex,179
ApartmentCoop,161
Open Space Tmbr LandGreenbelt,160
Air Terminal and Hangers,150
Club,144
Grocery Store,135
TerminalRail,135
TavernLounge,135
Sport Facility,133
RetailDiscount,132
Utility PrivateRadioTV,125
Shopping CtrCommunity,121
Tideland 1st Class,120
MortuaryCemeteryCrematory,119
Historic PropResidence,116
VetAnimal Control Srvc,112
MiningQuarryOre Processing,108
Conv Store without Gas,105
TerminalMarine,104
Park PrivateAmuse Ctr,95
Service Station,91
Art GalleryMuseumSoc Srvc,76
Farm,75
RiverCreekStream,60
Health Club,57
ResortLodgeRetreat,57
Car Wash,55
GreenhseNrsryHort Srvc,55
Office Park,55
Open SpaceCurr UseRCW 8434,55
Nursing Home,54
Shell Structure,53
ReserveWilderness Area,53
FraternitySorority House,52
RetailBig Box,52
Hospital,52
Post OfficePost Service,47
TerminalAutoBusOther,45
AuditoriumAssembly Bldg,44
Residence HallDorm,40
Mini Lube,39
Historic PropMisc,37
Shopping CtrMaj Retail,37
Movie Theater,36
TerminalMarineComm Fish,34
Shopping CtrRegional,34
Forest LandClassRCW 8433,30
Historic PropOffice,28
Gas Station,23
Tideland 2nd Class,20
Water Body Fresh,17
Open SpaceAgricRCW 8434,16
Historic PropRetail,15
Ski Area,14
Bowling Alley,13
Rehabilitation Center,11
Skating RinkIceRoller,10
Shopping CtrSpecialty,8
Transferable Dev Rights,7
Bed  Breakfast,4
Historic PropRecEntertain,4
Campground,4
Historic PropParkBillbrd,2
Historic PropLoftWarehse,2
Historic PropVacant Land,2
Driving Range,2
Forest LandDesigRCW 8433,2
Historic PropEatDrink,1
TerminalGrain,1
